Album Name,Album Link
"11.9.18 | The Underground | Charlotte, NC",https://papadosio.bandcamp.com/album/11918-the-underground-charlotte-nc
"11.8.18 | Lincoln Theatre | Raleigh, NC",https://papadosio.bandcamp.com/album/11818-lincoln-theatre-raleigh-nc
"11.1.18 | Cain's Ballroom | Tulsa, OK",https://papadosio.bandcamp.com/album/11118-cains-ballroom-tulsa-ok
11.2.18 | Bourbon Theatre | Lincoln Nebraska,https://papadosio.bandcamp.com/album/11218-bourbon-theatre-lincoln-nebraska
"10.31.18 | George's Majestic | Fayettville, AR",https://papadosio.bandcamp.com/album/103118-georges-majestic-fayettville-ar
"10.21.18 | Wild Buffalo | Bellingham, WA",https://papadosio.bandcamp.com/album/102118-wild-buffalo-bellingham-wa
"10.27.18 | Fall Freaquence | Denver, CO",https://papadosio.bandcamp.com/album/102718-fall-freaquence-denver-co
"10.20.18 | Star Theater | Portland, OR",https://papadosio.bandcamp.com/album/102018-star-theater-portland-or
"10.19.18 | Nuemo's | Seattle, WA",https://papadosio.bandcamp.com/album/101918-nuemos-seattle-wa
"10.18.18 | Hifi Music Hall | Eugene, OR",https://papadosio.bandcamp.com/album/101818-hifi-music-hall-eugene-or
"10.17.18 | Arcata Theatre | Arcata, CA",https://papadosio.bandcamp.com/album/101718-arcata-theatre-arcata-ca
"10.14.18 | Mystic Theatre | Petaluma, CA",https://papadosio.bandcamp.com/album/101418-mystic-theatre-petaluma-ca
"10.13.18 | Great American Music Hall | San Francisco, CA",https://papadosio.bandcamp.com/album/101318-great-american-music-hall-san-francisco-ca
"10.12.18 | Lodge Room | Los Angeles, CA",https://papadosio.bandcamp.com/album/101218-lodge-room-los-angeles-ca
"10.11.18 | Music Box | San Diego, CA",https://papadosio.bandcamp.com/album/101118-music-box-san-diego-ca
"10.10.18 | The Orpheum | Flagstaff, AZ",https://papadosio.bandcamp.com/album/101018-the-orpheum-flagstaff-az
"10.9.18 | Meow Wolf | Santa Fe, NM",https://papadosio.bandcamp.com/album/10918-meow-wolf-santa-fe-nm
"10.6.18 | Sacred Vibrations | Shepard, MI",https://papadosio.bandcamp.com/album/10618-sacred-vibrations-shepard-mi
